discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,game_location,game_name,game_season,game_year
Swimming,Mixed 4 x 100m Medley Relay,Mixed,BRONZE,GameTeam,Australia,,,Australia,AU,AUS,Japan,Tokyo 2020,Summer,2020
Swimming,Men's 4 x 100m Medley Relay,Men,GOLD,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Swimming,Men's 4 x 100m Medley Relay,Men,SILVER,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
Swimming,Men's 4 x 100m Medley Relay,Men,BRONZE,GameTeam,Italy,,,Italy,IT,ITA,Japan,Tokyo 2020,Summer,2020
Swimming,Men's 4 x 200m Freestyle Relay,Men,GOLD,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
Swimming,Men's 4 x 200m Freestyle Relay,Men,SILVER,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Swimming,Men's 4 x 200m Freestyle Relay,Men,BRONZE,GameTeam,Australia,,,Australia,AU,AUS,Japan,Tokyo 2020,Summer,2020
Swimming,Women's 4 x 100m Freestyle Relay,Women,GOLD,GameTeam,Australia,,,Australia,AU,AUS,Japan,Tokyo 2020,Summer,2020
Swimming,Women's 4 x 100m Freestyle Relay,Women,SILVER,GameTeam,Canada,,,Canada,CA,CAN,Japan,Tokyo 2020,Summer,2020
Swimming,Women's 4 x 100m Freestyle Relay,Women,BRONZE,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
